8-aminoquinoline & c12cccc(N)c1nccc2 \\
1,2,4-triazolo[1,5-A]pyrimidine & c12ncnn2cccn1 \\
3-methoxymethylindole & c12c(COC)c[nH]c2cccc1 \\
1-methylnaphthalene & c12cccc(C)c1cccc2 \\
2-amino-4-hydroxypteridine & c12c([nH]c(N)nc1nccn2)=O \\
acenaphthylene & c12c3cccc1cccc2C=C3 \\
2-(methylsulfanyl)-4-quinazolinamine & c12nc(SC)nc(c2cccc1)N \\
aniline & Nc1ccccc1 \\
D-camphor & O=C1CC2CCC1(C)C2(C)C \\
3,5-dichloroanisole & COc1cc(Cl)cc(Cl)c1 \\
(+)-camphene & CC1([C@@H]2CC[C@@H](C2)C1=C)C \\
3,5-difluoro-aniline & Nc1cc(F)cc(F)c1 \\
3-methylyrrole & Cc1cc[nH]c1 \\
2-fluoro-aniline & Nc1ccccc1F \\
2,4-difluoro-aniline & Nc1ccc(F)cc1F \\
2-fluorobenzaldehyde & O=Cc1c(cccc1)F \\
2,4-difluoro-phenol & Oc1ccc(F)cc1F \\
1-vinylimidazole & C(=C)N1ccnc1 \\
3-fluorobenzonitrile & c1(ccc(cc1)C#N) \\
5-bromopyrimidine & c1ncncc1Br \\
4-vinylpyridine & c1(ccncc1)C=C \\
methyl chlorodifluoroacetate & C(C(OC)=O)(F)(F)Cl \\
nitrosobenzene & C1=CC=C(C=C1)N=O \\
2-benzylpyridine & c1(ccccc1)Cc2ccccn2 \\
1-naphthalenemethanol & c12c(cccc1cccc2)CO \\
2-fluoroaniline & C1=CC=C(C(=C1)N)F \\
2-phenoxyethanol & C1=CC=C(C=C1)OCCO \\
1-phenyl-semicarbazide & NC(=O)NNc1ccccc1 \\
phenol & Oc1ccccc1c1 \\
